624,1,4
80,2,4
593,3,1
760,4,5
971,5,5
76,6,3
708,7,1
889,8,1
719,9,4
781,10,4
829,11,5
977,12,5
857,13,5
983,14,5
611,15,5
434,16,5
21,17,4
415,18,1
624,19,5
25,20,5
158,21,4
750,22,5
466,23,5
518,24,5
655,25,5
947,26,5
983,25,1
493,27,4
832,28,5
899,29,3
977,30,5
832,31,5
958,32,2
932,33,5
208,34,3
234,35,4
765,36,3
727,37,5
174,38,4
771,39,5
960,40,5
592,41,3
983,42,3
263,43,5
926,44,5
813,45,1
708,46,5
983,47,2
67,48,4
869,30,4
528,49,3
905,50,5
984,51,5
619,52,5
560,53,4
624,54,5
767,55,5
984,56,4
591,57,5
841,58,4
748,59,5
121,60,5
482,61,5
927,62,2
353,63,5
571,64,5
719,65,5
986,66,4
481,67,5
560,68,5
511,69,5
636,70,2
964,71,5
899,72,5
880,73,2
118,74,4
425,12,5
877,75,5
978,76,5
697,46,1
443,77,5
684,78,5
966,79,5
446,80,4
636,81,5
353,82,5
787,83,5
560,84,4
697,85,5
5,86,5
944,87,1
983,88,2
272,89,2
747,90,3
991,91,2
656,92,3
485,93,5
698,94,5
977,95,5
593,96,4
429,97,3
712,98,5
984,99,5
661,100,4
882,101,4
941,102,4
647,103,5
994,104,5
42,105,4
975,106,1
800,107,5
619,108,5
719,109,5
800,110,5
975,24,1
264,17,5
869,111,3
964,92,5
624,37,5
611,112,4
611,113,4
832,114,4
970,115,5
970,27,4
67,116,5
118,87,4
591,117,5
654,118,4
940,119,5
900,60,5
979,120,3
984,121,4
958,122,4
899,123,5
115,12,5
35,124,5
803,94,5
973,125,5
592,126,1
593,127,3
605,40,5
333,128,5
719,129,3
977,130,5
901,131,3
670,132,5
443,133,4
915,134,5
977,135,4
681,136,4
760,137,4
972,138,4
984,139,4
905,140,5
337,141,4
911,141,5
21,142,5
804,143,5
600,68,5
975,144,5
869,92,1
140,145,5
560,146,5
510,85,5
197,147,5
983,148,5
592,149,5
987,150,5
223,151,4
957,152,4
826,19,1
560,153,5
560,154,5
679,145,3
705,155,1
962,156,5
131,124,5
800,157,5
890,158,5
208,82,5
708,159,1
632,160,2
26,149,5
334,85,5
61,161,2
949,139,5
719,162,1
326,39,1
593,163,1
818,164,4
787,165,3
644,166,5
624,120,5
347,167,5
977,47,5
954,168,5
705,169,1
638,170,5
983,171,2
771,172,5
973,173,4
560,174,5
656,175,4
223,17,5
818,176,4
106,177,5
791,178,3
947,179,4
611,19,5
984,180,3
841,143,4
978,181,2
979,182,5
869,183,4
841,184,2
991,185,4
334,71,4
876,186,4
984,187,5
529,188,5
712,189,5
681,96,5
